0000,0002
0010,0003
0100,0010
0101,0011
0103,0012
0105,0021
0106,0013
0107,0016
0108,0014
0109,0025
0111,0015
0113,0022
0115,0023
0117,0019
0119,0020
0121,0024
0123,0017
0125,0018
0127,0040
0129,0026
0131,0033
0133,0037
0135,0035
0137,0038
0139,0036
0141,0031
0143,0039
0145,0030
0147,0028
0149,0029
0151,0027
0153,0034
0155,0032
0200,2510
0201,2511
0202,2522
0203,2514
0204,2516
0205,2520
0206,2517
0207,2512
0208,2515
0209,2518
0210,2519
0211,2521
0212,2513
0400,2360
0401,2361
0402,2361
0403,2363
0404,2364
0405,2371
0406,2369
0407,2370
0408,2366
0409,2365
0410,2367
0411,2373
0412,2362
0413,2368
0415,2372
0600,2310
0601,2311
0602,2311
0603,2313
0604,2312
0605,2316
0606,2317
0607,2315
0608,2314
0609,2318
0800,2460
0801,2461
0802,2461
0803,2464
0804,2462
0805,2463
0806,2466
0807,2465
0808,2468
1000,2610
1001,2611
1002,2612
1004,2613
1005,2619
1006,2618
1007,2616
1008,2615
1009,2617
1010,2614
1011,2620
1100,2760
1101,2761
1102,2761
1103,2768
1104,2763
1105,2762
1106,2764
1107,2767
1108,2766
1109,2769
1110,2765
1200,3160
1201,3161
1202,3162
1203,3163
1204,3166
1205,3164
1206,3167
1207,3168
1208,3165
1400,2710
1401,2711
1402,2722
1403,2720
1404,2719
1405,2713
1406,2718
1407,2717
1408,2716
1409,2714
1410,2712
1411,2715
1412,2721
1500,2560
1501,2561
1502,2561
1503,2569
1504,2565
1505,2568
1506,2562
1507,2563
1508,2564
1509,2566
1510,2567
1700,2660
1701,2661
1702,2661
1703,2664
1704,2669
1705,2662
1706,2667
1707,2671
1708,2665
1709,2670
1710,2666
1711,2668
1712,2663
1900,2260
1901,2261
1902,2270
1903,2269
1904,2262
1905,2268
1906,2264
1907,2266
1908,2265
1909,2267
1910,2263
2000,2410
2001,2411
2002,2411
2003,2418
2004,2413
2005,2414
2006,2417
2007,2415
2008,2421
2009,2420
2010,2419
2011,2416
2012,2412
2200,2810
2201,2811
2202,2824
2203,2813
2204,2812
2205,2819
2206,2818
2207,2821
2208,2814
2209,2816
2210,2822
2211,2820
2212,2815
2213,2823
2214,2817
2215,2825
2400,1160
2401,1161
2402,1171
2403,1169
2404,1170
2405,1167
2406,1164
2407,1166
2408,1163
2409,1162
2410,1168
2411,1165
2500,1260
2501,1261
2502,1261
2503,1262
2504,1265
2505,1270
2506,1264
2507,1266
2508,1269
2509,1267
2510,1268
2511,1271
2512,1272
2513,1273
2514,1263
2600,1210
2601,1211
2602,1220
2603,1219
2604,1213
2605,1218
2606,1212
2607,1214
2608,1216
2609,1217
2610,1215
2700,1110
2701,1111
2702,1117
2703,1112
2704,1115
2705,1114
2706,1116
2707,1113
2708,1118
2709,1119
3000,0360
3001,0361
3002,0373
3003,0366
3004,0363
3005,0371
3006,0372
3007,0364
3008,0367
3009,0369
3010,0365
3011,0370
3012,0362
3013,0368
3100,0060
3101,0061
3102,0063
3103,0062
3104,0075
3105,0064
3106,0065
3107,0066
3108,0070
3109,0068
3110,0071
3111,0072
3112,0067
3113,0069
3114,0073
3115,0076
3300,0410
3301,0411
3302,0411
3303,0412
3304,0415
3305,0413
3306,0420
3307,0416
3308,0414
3309,0419
3310,0417
3311,0418
3400,0460
3401,0461
3402,0461
3403,0463
3404,0468
3405,0465
3406,0464
3407,0466
3408,0467
3409,0462
3500,0310
3501,0311
3502,0317
3503,0315
3504,0313
3505,0314
3506,0316
3507,0312
3600,0260
3601,0261
3602,0271
3603,0265
3604,0268
3605,0266
3606,0270
3607,0267
3608,0262
3609,0269
3610,0263
3611,0264
3700,1310
3701,1311
3702,1311
3703,1312
3704,1315
3705,1314
3706,1317
3707,1313
3708,1318
3709,1316
3800,1360
3801,1361
3802,1387
3803,1363
3804,1362
3805,1388
3806,1383
3807,1384
3808,1378
3809,1372
3810,1375
3811,1373
3812,1376
3813,1377
3814,1367
3815,1385
3816,1374
3817,1382
3818,1371
3819,1369
3820,1368
3821,1381
3822,1386
3823,1380
3824,1364
3825,1379
3826,1366
3827,1365
3828,1370
4000,1410
4001,1411
4002,1430
4003,1429
4004,1424
4005,1428
4006,1427
4007,1423
4008,1421
4009,1473
4010,1426
4011,1414
4012,1422
